id,word,defTh,defEn,type,ipa_us,ipa_uk,cefr,example,audioTh,audioEn,audio_example,image
842,competent,"มีความสามารถ (ตามมาตรฐาน), มีคุณสมบัติเหมาะสม",having enough skill or knowledge to do something well or to the necessary standard,adjective,/ˈkɑːmpɪtənt/,/ˈkɒmpɪtənt/,C1,He's very competent in his work.,,,,842_c1_competent.jpg
843,competition,"การแข่งขัน, คู่แข่ง",an event in which people compete with each other to find out who is the best at something,noun,/ˌkɑːmpəˈtɪʃn/,/ˌkɒmpəˈtɪʃn/,A2,a design/an art/a talent competition,,,,
844,competitive,"แข่งขัน, มีการแข่งขัน",used to describe a situation in which people or organizations compete against each other,adjective,/kəmˈpetətɪv/,/kəmˈpetətɪv/,B1,competitive games/sports,,,,
845,competitor,ผู้เข้าแข่งขัน,a person who takes part in a competition,noun,/kəmˈpetɪtər/,/kəmˈpetɪtə(r)/,B1,Over 200 competitors entered the race.,,,,
846,compile,"รวบรวม (ข้อมูล, หนังสือ), เรียบเรียง","to produce a book, list, report, etc. by bringing together different items, articles, songs, etc.; to collect information in order to produce a book, list, etc.",verb,/kəmˈpaɪl/,/kəmˈpaɪl/,C1,We are trying to compile a list of suitable people for the job.,,,,846_c1_compile.jpg
847,complain,"บ่น, ร้องทุกข์","to say that you are annoyed, unhappy or not satisfied about somebody/something",verb,/kəmˈpleɪn/,/kəmˈpleɪn/,A2,"She never complains, but she's obviously exhausted.",,,,847_a2_complain.jpg
848,complaint,ข้อร้องเรียน,a reason for not being satisfied; a statement that somebody makes saying that they are not satisfied,noun,/kəmˈpleɪnt/,/kəmˈpleɪnt/,B1,a formal complaint,,,,848_b1_complaint.jpg
849,complement,"เสริมให้สมบูรณ์, เติมเต็ม",to add to something in a way that improves it or makes it more attractive,verb,/ˈkɑːmplɪment/,/ˈkɒmplɪment/,C1,The excellent menu is complemented by a good wine list.,,,,849_c1_complement.jpg
850,complete,"สมบูรณ์, เสร็จสิ้น","including all the parts, etc. that are necessary; whole",adjective,/kəmˈpliːt/,/kəmˈpliːt/,A1,a complete list/sequence/picture/profile,,,,
851,completely,อย่างทั้งหมด,in every way possible; in every part,adverb,/kəmˈpliːtli/,/kəmˈpliːtli/,A2,It was completely different from how I had imagined it.,,,,851_a2_completely.jpg
852,completion,เสร็จสิ้น,the act or process of finishing something; the state of being finished and complete,noun,/kəmˈpliːʃn/,/kəmˈpliːʃn/,B2,the completion of the new hospital building,,,,
853,complex,"ซับซ้อน, สลับซับซ้อน",made of many different things or parts that are connected; difficult to understand,adjective,/kəmˈpleks/,/ˈkɒmpleks/,B1,a complex problem/issue/process/system,,,,853_b1_complex.jpg
854,complexity,ความซับซ้อน,the state of being formed of many parts; the state of being difficult to understand,noun,/kəmˈpleksəti/,/kəmˈpleksəti/,C1,the increasing complexity of modern telecommunication systems,,,,
855,compliance,การปฏิบัติตาม,the practice of obeying rules or requests made by people in authority,noun,/kəmˈplaɪəns/,/kəmˈplaɪəns/,C1,"compliance (with something), procedures that must be followed to ensure full compliance with the law",,,,855_c1_compliance.jpg
856,complicated,"ซับซ้อน, ยุ่งยาก",made of many different things or parts that are connected; difficult to understand,adjective,/ˈkɑːmplɪkeɪtɪd/,/ˈkɒmplɪkeɪtɪd/,B2,a complicated issue/process/system,,,,
857,complication,ภาวะแทรกซ้อน,a thing that makes a situation more complicated or difficult,noun,/ˌkɑːmplɪˈkeɪʃn/,/ˌkɒmplɪˈkeɪʃn/,C1,The bad weather added a further complication to our journey.,,,,
858,comply,"ปฏิบัติตามกฎ, ยินยอม","to obey a rule, an order, etc.; to meet particular standards",verb,/kəmˈplaɪ/,/kəmˈplaɪ/,C1,They refused to comply with the UN resolution.,,,,
859,component,ส่วนประกอบ,one of several parts of which something is made,noun,/kəmˈpəʊnənt/,/kəmˈpəʊnənt/,B2,the different organizations involved in the design of the various components ,,,,859_b2_component.jpg
860,compose,เขียน,to write music,verb,/kəmˈpəʊz/,/kəmˈpəʊz/,B2,Mozart composed his last opera shortly before he died.,,,,860_b2_compose.jpg
861,composer,นักแต่งเพลง,"a person who writes music, especially classical music",noun,/kəmˈpəʊzər/,/kəmˈpəʊzə(r)/,B2,Verdi was a prolific composer of operas.,,,,
862,composition,องค์ประกอบ,the different parts that something is made of; the way in which the different parts are organized,noun,/ˌkɑːmpəˈzɪʃn/,/ˌkɒmpəˈzɪʃn/,C1,the chemical composition of the soil,,,,
863,compound,สารประกอบ,a thing consisting of two or more separate things combined together,noun,/ˈkɑːmpaʊnd/,/ˈkɒmpaʊnd/,B2,compounds derived from rainforest plants,,,,863_b2_compound.jpg
864,comprehensive,ครอบคลุม,"including all, or almost all, the items, details, facts, information, etc., that may be involved",adjective,/ˌkɑːmprɪˈhensɪv/,/ˌkɒmprɪˈhensɪv/,B2,a comprehensive list of addresses,,,,864_b2_comprehensive.jpg
865,comprise,"ประกอบด้วย, รวมอยู่ด้วย",to have somebody/something as parts or members,verb,/kəmˈpraɪz/,/kəmˈpraɪz/,B2,"comprise something, The collection comprises 327 paintings.",,,,865_b2_comprise.jpg
866,compromise,ประนีประนอม,an agreement made between two people or groups in which each side gives up some of the things they want so that both sides are happy at the end,noun,/ˈkɑːmprəmaɪz/,/ˈkɒmprəmaɪz/,C1,After lengthy talks the two sides finally reached a compromise.,,,,866_c1_compromise.jpg
867,compulsory,ภาคบังคับ,that must be done because of a law or a rule,adjective,/kəmˈpʌlsəri/,/kəmˈpʌlsəri/,B2,English is a compulsory subject at this level.,,,,
868,compute,คำนวณ,to calculate something,verb,/kəmˈpjuːt/,/kəmˈpjuːt/,C1,The losses were computed at £5 million.,,,,
869,computer,คอมพิวเตอร์,"an electronic machine that can store, organize and find information, do processes with numbers and other data, and control other machines",noun,/kəmˈpjuːtər/,/kəmˈpjuːtə(r)/,A1,a home computer,,,,
870,conceal,ปกปิด,to hide somebody/something,verb,/kənˈsiːl/,/kənˈsiːl/,C1,"conceal somebody/something, The paintings were concealed beneath a thick layer of plaster.",,,,870_c1_conceal.jpg
871,concede,ยอมรับ,"to admit that something is true, logical, etc. after first denying it or resisting it",verb,/kənˈsiːd/,/kənˈsiːd/,C1,"+ speech, ‘Not bad,’ she conceded grudgingly.",,,,871_c1_concede.jpg
872,conceive,ตั้งครรภ์,"to form an idea, a plan, etc. in your mind",verb,/kənˈsiːv/,/kənˈsiːv/,C1,He conceived the idea of transforming the old power station into an arts centre.,,,,872_c1_conceive.jpg
873,concentrate,จดจ่อ,to give all your attention to something and not think about anything else,verb,/ˈkɑːnsntreɪt/,/ˈkɒnsntreɪt/,B1,I can't concentrate with all that noise going on.,,,,873_b1_concentrate.jpg
874,concentration,"ความเข้มข้น, สมาธิ","the ability to direct all your effort and attention on one thing, without thinking of other things",noun,/ˌkɑːnsnˈtreɪʃn/,/ˌkɒnsnˈtreɪʃn/,B2,This book requires a great deal of concentration.,,,,
875,concept,"แนวคิด, มโนทัศน์",an idea or a principle that is connected with something abstract,noun,/ˈkɑːnsept/,/ˈkɒnsept/,B2,"concept of something, the concept of social class",,,,875_b2_concept.jpg
876,conception,"แนวความคิด, การตั้งครรภ์",an understanding or a belief of what something/somebody is or what something/somebody should be,noun,/kənˈsepʃn/,/kənˈsepʃn/,C1,"conception of something, Marx’s conception of social justice",,,,
877,concern,"ความกังวล, เรื่องที่เกี่ยวข้อง","a feeling of worry, especially one that is shared by many people",noun,/kənˈsɜːrn/,/kənˈsɜːn/,B2,"concern about something/somebody, Villagers expressed concern about the level of traffic.",,,,877_b2_concern.jpg
878,concerned,กังวล,worried and feeling concern about something/somebody,adjective,/kənˈsɜːrnd/,/kənˈsɜːnd/,B2,Concerned citizens can have a huge impact.,,,,
879,concert,"คอนเสิร์ต, การแสดง",a public performance of music,noun,/ˈkɑːnsərt/,/ˈkɒnsət/,A1,to attend/go to a concert,,,,879_a1_concert.jpg
880,concession,สัมปทาน,"something that you allow or do, or allow somebody to have, in order to end an argument or to make a situation less difficult",noun,/kənˈseʃn/,/kənˈseʃn/,C1,The firm will be forced to make concessions if it wants to avoid a strike.,,,,880_c1_concession.jpg
881,conclude,"สรุป, ลงเอย",to decide or believe something as a result of what you have heard or seen,verb,/kənˈkluːd/,/kənˈkluːd/,B1,"conclude something, It is too early for us to conclude anything.",,,,881_b1_conclude.jpg
882,conclusion,"ข้อสรุป, บทสรุป",something that you decide when you have thought about all the information connected with the situation,noun,/kənˈkluːʒn/,/kənˈkluːʒn/,B1,We can safely draw some conclusions from our discussion.,,,,882_b1_conclusion.jpg
883,concrete,"คอนกรีต, ชัดเจน",made of concrete,adjective,/ˈkɑːnkriːt/,/ˈkɒŋkriːt/,B2,a concrete floor,,,,883_b2_concrete.jpg
884,condemn,"ประณาม, ตำหนิอย่างรุนแรง","to say very strongly that you think something is bad, usually for moral reasons",verb,/kənˈdem/,/kənˈdem/,C1,"condemn somebody/something, The government issued a statement condemning the killings.",,,,884_c1_condemn.jpg
885,condition,"เงื่อนไข, สภาพ",the state that something is in,noun,/kənˈdɪʃn/,/kənˈdɪʃn/,A2,"in… condition, to be in pristine/excellent/perfect condition ",,,,885_a2_condition.jpg
886,conduct,"ความประพฤติ, จัด",a person’s behaviour in a particular place or in a particular situation,noun,/ˈkɑːndʌkt/,/ˈkɒndʌkt/,B2,The sport has a strict code of conduct.,,,,886_b2_conduct.jpg
887,confer,หารือ,"to discuss something with somebody, in order to exchange opinions or get advice",verb,/kənˈfɜːr/,/kənˈfɜː(r)/,C1,He wanted to confer with his colleagues before reaching a decision.,,,,887_c1_confer.jpg
888,conference,"การประชุม, สัมมนา","a large official meeting, usually lasting for a few days, at which people with the same work or interests come together to discuss their views",noun,/ˈkɑːnfərəns/,/ˈkɒnfərəns/,A2,"The hotel is used for exhibitions, conferences and social events.",,,,
889,confess,สารภาพ,"to admit, especially formally or to the police, that you have done something wrong or illegal",verb,/kənˈfes/,/kənˈfes/,B2,"After hours of questioning, the suspect confessed.",,,,889_b2_confess.jpg
890,confession,คำสารภาพ,"a statement that a person makes, admitting that they are guilty of a crime; the act of making such a statement",noun,/kənˈfeʃn/,/kənˈfeʃn/,C1,"After hours of questioning by police, she made a full confession.",,,,
891,confidence,ความเชื่อมั่นในตนเอง,"the feeling that you can trust, believe in and be sure about the abilities or good qualities of somebody/something",noun,/ˈkɑːnfɪdəns/,/ˈkɒnfɪdəns/,B2,The president's actions hardly inspire confidence.,,,,891_b2_confidence.jpg
892,confident,"มั่นใจ, เชื่อมั่น",feeling sure about your own ability to do things and be successful,adjective,/ˈkɑːnfɪdənt/,/ˈkɒnfɪdənt/,B1,"She was in a relaxed, confident mood.",,,,892_b1_confident.jpg
893,configuration,การกำหนดค่า,an arrangement of the parts of something or a group of things; the form or shape that this arrangement produces,noun,/kənˌfɪɡjəˈreɪʃn/,/kənˌfɪɡəˈreɪʃn/,C1,"configuration of something, The design is based on four configurations of squares.",,,,
894,confine,"จำกัด, กักขัง","to keep somebody/something inside the limits of a particular activity, subject, area, etc.",verb,/kənˈfaɪn/,/kənˈfaɪn/,C1,"be confined to (doing) something, The work will not be confined to the Glasgow area.",,,,894_c1_confine.jpg
895,confirm,"ยืนยัน, รับรอง","to state or show that something is definitely true or correct, especially by providing evidence",verb,/kənˈfɜːrm/,/kənˈfɜːm/,B1,"confirm something, His guilty expression confirmed my suspicions.",,,,895_b1_confirm.jpg
896,confirmation,"การรับรอง, การยืนยันความถูกต้อง","a statement, letter, etc. that shows that something is true, correct or definite",noun,/ˌkɑːnfərˈmeɪʃn/,/ˌkɒnfəˈmeɪʃn/,C1,I'm still waiting for confirmation of the test results.,,,,
897,conflict,"ความขัดแย้ง, การปะทะกัน (ระหว่างบุคคล/กลุ่ม)","a situation in which people, groups or countries disagree strongly or are involved in a serious argument",noun,/ˈkɑːnflɪkt/,/ˈkɒnflɪkt/,B2,The violence was the result of political conflicts.,,,,897_b2_conflict.jpg
898,confront,"เผชิญหน้า, ต่อต้าน",to appear and need to be dealt with by somebody,verb,/kənˈfrʌnt/,/kənˈfrʌnt/,C1,What is to be done about the economic problems confronting the country?,,,,898_c1_confront.jpg
899,confrontation,การเผชิญหน้า,a situation in which there is anger between people or groups who disagree because they have different opinions,noun,/ˌkɑːnfrənˈteɪʃn/,/ˌkɒnfrʌnˈteɪʃn/,C1,"confrontation (with somebody), She wanted to avoid another confrontation with her father.",,,,
900,confuse,ทำให้สับสน,to make somebody unable to think clearly or understand something,verb,/kənˈfjuːz/,/kənˈfjuːz/,B1,"confuse somebody, These two sets of statistics are guaranteed to confuse the public.",,,,900_b1_confuse.jpg
901,confused,ที่รู้สึกสับสน,unable to think clearly or to understand what is happening or what somebody is saying,adjective,/kənˈfjuːzd/,/kənˈfjuːzd/,B1,I'm confused—say all that again.,,,,
902,confusing,ที่ทำให้สับสน,difficult to understand; not clear,adjective,/kənˈfjuːzɪŋ/,/kənˈfjuːzɪŋ/,B2,The instructions on the box are very confusing.,,,,
903,confusion,ความสับสน,"a state of not being certain about what is happening, what you should do, what something means, etc.",noun,/kənˈfjuːʒn/,/kənˈfjuːʒn/,B2,The announcement caused a lot of confusion.,,,,
904,congratulate,แสดงความยินดี,to tell somebody that you are pleased about their success or achievements,verb,/kənˈɡrætʃəleɪt/,/kənˈɡrætʃəleɪt/,C1,I congratulated them all on their results.,,,,904_c1_congratulate.jpg
905,congregation,การรวมกลุ่ม (ทางศาสนา/ทางการ),"a group of people who are gathered together in a church for a religious service, not including the priest and choir",noun,/ˌkɑːŋɡrɪˈɡeɪʃn/,/ˌkɒŋɡrɪˈɡeɪʃn/,C1,The congregation stood to sing the hymn.,,,,
906,congressional,เกี่ยวกับรัฐสภา (ของสหรัฐอเมริกา),related to or belonging to a congress or the Congress in the US,adjective,/kənˈɡreʃənl/,/kənˈɡreʃənl/,C1,a congressional committee/bill,,,,
907,connect,"เชื่อมต่อ, ต่อ",to join together two or more things; to be joined together,verb,/kəˈnekt/,/kəˈnekt/,A2,"connect A and B, The towns are connected by train and bus services.",,,,907_a2_connect.jpg
908,connected,"เชื่อมต่อ, เกี่ยวข้อง",(of two or more things or people) having a link between them,adjective,/kəˈnektɪd/,/kəˈnektɪd/,A2,We do not believe that the incidents are connected.,,,,
909,connection,"การเชื่อมต่อ, ความสัมพันธ์","something that connects two facts, ideas, etc.",noun,/kəˈnekʃn/,/kəˈnekʃn/,B1,"connection between A and B, Scientists have established a connection between cholesterol levels and heart disease.",,,,
910,conquer,พิชิต,to take control of a country or city and its people by force,verb,/ˈkɑːŋkər/,/ˈkɒŋkə(r)/,C1,The Normans conquered England in 1066.,,,,910_c1_conquer.jpg
911,conscience,มโนธรรม,the part of your mind that tells you whether your actions are right or wrong,noun,/ˈkɑːnʃəns/,/ˈkɒnʃəns/,C1,to have a clear/guilty conscience (= to feel that you have done right/wrong),,,,911_c1_conscience.jpg
912,conscious,"มีสติ, รู้ตัว",aware of something; noticing something,adjective,/ˈkɑːnʃəs/,/ˈkɒnʃəs/,B2,"conscious of something, She's very conscious of the problems involved.",,,,912_b2_conscious.jpg
913,consciousness,จิตสำนึก,the state of being able to use your senses and mental powers to understand what is happening,noun,/ˈkɑːnʃəsnəs/,/ˈkɒnʃəsnəs/,C1,I can't remember any more—I must have lost consciousness.,,,,
914,consecutive,ติดต่อกัน,following one after another in a continuous series ,adjective,/kənˈsekjətɪv/,/kənˈsekjətɪv/,C1,She was absent for nine consecutive days.,,,,914_c1_consecutive.jpg
915,consensus,ฉันทามติ,an opinion that all members of a group agree with,noun,/kənˈsensəs/,/kənˈsensəs/,C1,"consensus (about/on something), She is skilled at achieving consensus on sensitive issues.",,,,915_c1_consensus.jpg
916,consent,ยินยอม,"permission to do something, especially given by somebody in authority",noun,/kənˈsent/,/kənˈsent/,C1,The written consent of a parent is required.,,,,
917,consequence,ผลที่ตามมา,"a result of something that has happened, especially an unpleasant result",noun,/ˈkɑːnsɪkwens/,/ˈkɒnsɪkwəns/,B1,Remember that actions have consequences.,,,,917_b1_consequence.jpg
918,consequently,เพราะเหตุนี้,as a result; therefore,adverb,/ˈkɑːnsɪkwentli/,/ˈkɒnsɪkwəntli/,B2,"This poses a threat to agriculture and the food chain, and consequently to human health.",,,,
919,conservation,การอนุรักษ์,the protection of the natural environment,noun,/ˌkɑːnsərˈveɪʃn/,/ˌkɒnsəˈveɪʃn/,B2,to be interested in wildlife conservation,,,,
920,conservative,"อนุรักษ์นิยม, ระมัดระวัง",opposed to great or sudden social change; showing that you prefer traditional styles and values,adjective,/kənˈsɜːrvətɪv/,/kənˈsɜːvətɪv/,B2,the conservative views of his parents,,,,
921,conserve,อนุรักษ์,to protect something and prevent it from being changed or destroyed,verb,/kənˈsɜːrv/,/kənˈsɜːv/,C1,new laws to conserve wildlife in the area,,,,921_c1_conserve.jpg
922,consider,"พิจารณา, คิด","to think about something carefully, especially in order to make a decision",verb,/kənˈsɪdər/,/kənˈsɪdə(r)/,A2,I'd like some time to consider.,,,,922_a2_consider.jpg
923,considerable,"ค่อนข้างมาก, สำคัญมาก","great in amount, size, importance, etc.",adjective,/kənˈsɪdərəbl/,/kənˈsɪdərəbl/,B2,The project wasted a considerable amount of time and money.,,,,923_b2_considerable.jpg
924,considerably,"อย่างมาก, มากมาย",much; a lot,adverb,/kənˈsɪdərəbli/,/kənˈsɪdərəbli/,B2,The need for sleep varies considerably from person to person.,,,,
925,consideration,"การพิจารณา, ข้อควรพิจารณา",the act of thinking carefully about something,noun,/kənˌsɪdəˈreɪʃn/,/kənˌsɪdəˈreɪʃn/,B2,An employer is legally bound to give due consideration to the request.,,,,
926,consist,"ประกอบด้วย (เน้นส่วนย่อย), มีส่วนสำคัญคือ",,verb,/kənˈsɪst/,/kənˈsɪst/,B1,,,,,926_b1_consist.jpg
927,consistency,ความสม่ำเสมอ,"the quality of always behaving in the same way or of having the same opinions, standard, etc.; the quality of being consistent",noun,/kənˈsɪstənsi/,/kənˈsɪstənsi/,C1,She has played with great consistency all season.,,,,927_c1_consistency.jpg
928,consistent,สม่ำเสมอ,"always behaving in the same way, or having the same opinions, standards, etc.",adjective,/kənˈsɪstənt/,/kənˈsɪstənt/,B2,a consistent approach to the problem,,,,928_b2_consistent.jpg
929,consistently,อย่างคงเส้นคงวา,always the same,adverb,/kənˈsɪstəntli/,/kənˈsɪstəntli/,B2,Her work has been of a consistently high standard.,,,,
930,consolidate,"รวบรวมให้เป็นปึกแผ่น, ทำให้มั่นคง",to make a position of power or success stronger so that it is more likely to continue,verb,/kənˈsɑːlɪdeɪt/,/kənˈsɒlɪdeɪt/,C1,With this new movie he has consolidated his position as the country's leading director.,,,,930_c1_consolidate.jpg
931,conspiracy,การสมรู้ร่วมคิด,a secret plan by a group of people to do something harmful or illegal,noun,/kənˈspɪrəsi/,/kənˈspɪrəsi/,B2,"conspiracy (to do something), a conspiracy to overthrow the government",,,,931_b2_conspiracy.jpg
932,constant,"คงที่, สม่ำเสมอ",happening all the time or repeatedly,adjective,/ˈkɑːnstənt/,/ˈkɒnstənt/,B2,There were constant interruptions.,,,,932_b2_constant.jpg
933,constantly,อย่างไม่หยุดหย่อน,all the time; repeatedly,adverb,/ˈkɑːnstəntli/,/ˈkɒnstəntli/,B2,Fashion is constantly changing.,,,,933_b2_constantly.jpg
934,constituency,เขตเลือกตั้ง,a district that elects its own representative to parliament,noun,/kənˈstɪtʃuənsi/,/kənˈstɪtʃuənsi/,C1,Unemployment is high in her constituency.,,,,
935,constitute,"ก่อตั้ง, เป็นองค์ประกอบของ",to be considered to be something,verb,/ˈkɑːnstɪtuːt/,/ˈkɒnstɪtjuːt/,C1,Does such an activity constitute a criminal offence?,,,,
936,constitution,"รัฐธรรมนูญ, องค์ประกอบ","the system of laws and basic principles that a state, a country or an organization is governed by",noun,/ˌkɑːnstɪˈtuːʃn/,/ˌkɒnstɪˈtjuːʃn/,C1,your right to vote under the constitution,,,,936_c1_constitution.jpg
937,constitutional,"ตามรัฐธรรมนูญ, ที่เป็นไปตามกฎหมาย",,adjective,/ˌkɑːnstɪˈtuːʃənl/,/ˌkɒnstɪˈtjuːʃənl/,C1,,,,,
938,constraint,ข้อ จำกัด,"a thing that limits something, or limits your freedom to do something",noun,/kənˈstreɪnt/,/kənˈstreɪnt/,C1,constraints of time/money/space,,,,
939,construct,ก่อสร้าง (โดยใช้วัสดุ),"to build or make something such as a road, building or machine",verb,/kənˈstrʌkt/,/kənˈstrʌkt/,B2,"construct something, The building was constructed in 1993.",,,,939_b2_construct.jpg
940,construction,"การก่อสร้าง, สิ่งก่อสร้าง","the process or method of building or making something, especially roads, buildings, bridges, etc.",noun,/kənˈstrʌkʃn/,/kənˈstrʌkʃn/,B2,Construction began this year and will take approximately 18 months.,,,,
941,consult,"ปรึกษา, ขอคำแนะนำ",to go to somebody for information or advice,verb,/kənˈsʌlt/,/kənˈsʌlt/,B2,"consult somebody, If the pain continues, consult your doctor.",,,,941_b2_consult.jpg
942,consultant,ผู้ให้คำปรึกษา,a person who knows a lot about a particular subject and is employed to give advice about it to other people,noun,/kənˈsʌltənt/,/kənˈsʌltənt/,B2,a technology/design consultant,,,,
943,consultation,"การขอคำแนะนำ, การปรึกษาหารือ (จากผู้เชี่ยวชาญ)",the act of discussing something with somebody or with a group of people before making a decision about it,noun,/ˌkɑːnslˈteɪʃn/,/ˌkɒnslˈteɪʃn/,C1,a consultation document/paper/period/process,,,,
944,consume,บริโภค,"to use something, especially fuel, energy or time",verb,/kənˈsuːm/,/kənˈsjuːm/,B1,The electricity industry consumes large amounts of fossil fuels.,,,,944_b1_consume.jpg
945,consumer,ผู้บริโภค,a person who buys goods or uses services,noun,/kənˈsuːmər/,/kənˈsjuːmə(r)/,B1,consumer spending/demand,,,,
946,consumption,"การใช้จนหมด, การบริโภค","the act of using energy, food or materials; the amount used",noun,/kənˈsʌmpʃn/,/kənˈsʌmpʃn/,B2,the production of fuel for domestic consumption (= to be used in the country where it is produced),,,,946_b2_consumption.jpg
947,contact,"ติดต่อ, สัมผัส","the act of communicating with somebody, especially regularly",noun,/ˈkɑːntækt/,/ˈkɒntækt/,B1,"contact with somebody, I don't have much contact with my uncle.",,,,947_b1_contact.jpg
948,contain,"บรรจุ, มี","if something contains something else, it has that thing inside it or as part of it",verb,/kənˈteɪn/,/kənˈteɪn/,A2,This drink doesn't contain any alcohol.,,,,948_a2_contain.jpg
949,container,"ภาชนะ, ตู้สินค้า","a box, bottle, etc. in which something can be stored or transported",noun,/kənˈteɪnər/,/kənˈteɪnə(r)/,B1,a plastic container,,,,
950,contemplate,ครุ่นคิด,"to think about whether you should do something, or how you should do something",verb,/ˈkɑːntəmpleɪt/,/ˈkɒntəmpleɪt/,C1,"contemplate something, You're too young to be contemplating retirement.",,,,950_c1_contemplate.jpg
951,contemporary,"ร่วมสมัย, ปัจจุบัน",belonging to the same time,adjective,/kənˈtempəreri/,/kənˈtemprəri/,B2,We have no contemporary account of the battle (= written near the time that it happened).,,,,951_b2_contemporary.jpg
952,contempt,ดูถูก,the feeling that somebody/something is without value and deserves no respect at all,noun,/kənˈtempt/,/kənˈtempt/,C1,"with contempt, She looked at him with contempt.",,,,952_c1_contempt.jpg
953,contend,โต้แย้ง,"to say that something is true, especially in an argument",verb,/kənˈtend/,/kənˈtend/,C1,I would contend that the minister's thinking is flawed on this point.,,,,953_c1_contend.jpg
954,contender,ผู้ท้าชิง,a person or team with a chance of winning a competition,noun,/kənˈtendər/,/kənˈtendə(r)/,C1,"contender (for something), a contender for a gold medal in the Olympics",,,,
955,content,ที่พอใจในสิ่งที่ตนมี,happy and satisfied with what you have,adjective,/kənˈtent/,/kənˈtent/,C1,"He seemed more content, less bitter.",,,,955_c1_content.jpg
956,contention,การโต้แย้ง,anger between people who disagree,noun,/kənˈtenʃn/,/kənˈtenʃn/,C1,One area of contention is the availability of nursery care.,,,,
957,contest,"การแข่งขัน, ประกวด",a competition in which people try to win something,noun,/ˈkɑːntest/,/ˈkɒntest/,B2,to hold a singing/talent contest,,,,957_b2_contest.jpg
958,context,"บริบท, สภาพแวดล้อม",the situation in which something happens and that helps you to understand it,noun,/ˈkɑːntekst/,/ˈkɒntekst/,A2,Such databases are being used in a wide range of contexts.,,,,958_a2_context.jpg
959,continent,ทวีป,"one of the large land masses of the earth such as Europe, Asia or Africa",noun,/ˈkɑːntɪnənt/,/ˈkɒntɪnənt/,A2,the continent of Africa,,,,959_a2_continent.jpg
960,continually,อย่างบ่อยครั้ง,in a way that is repeated many times so that it is annoying,adverb,/kənˈtɪnjuəli/,/kənˈtɪnjuəli/,C1,They argue continually about money.,,,,
961,continue,"ทำต่อไป, ต่อเนื่อง",to keep existing or happening without stopping,verb,/kənˈtɪnjuː/,/kənˈtɪnjuː/,A2,"If the current trend continues, that number will increase 165 per cent by 2050.",,,,
962,continuous,"ต่อเนื่อง, ไม่ขาดสาย",happening or existing for a period of time without being interrupted,adjective,/kənˈtɪnjuəs/,/kənˈtɪnjuəs/,B1,Recovery after the accident will be a continuous process that may take several months.,,,,
963,contract,"สัญญา, หด",an official written agreement,noun,/ˈkɑːntrækt/,/ˈkɒntrækt/,B2,All employees have a written contract of employment.,,,,963_b2_contract.jpg
964,contractor,ผู้รับเหมา,a person or company that has a contract to do work or provide goods or services for another company,noun,/ˈkɑːntræktər/,/kənˈtræktə(r)/,C1,a building/roofing/electrical contractor ,,,,
965,contradiction,"ข้อความขัดแย้ง, การไม่ลงรอยกัน (ทางแนวคิด/ตรรกะ)","a lack of agreement between facts, opinions, actions, etc.",noun,/ˌkɑːntrəˈdɪkʃn/,/ˌkɒntrəˈdɪkʃn/,C1,"contradiction (between A and B), There is a contradiction between the two sets of figures.",,,,
966,contrary,ตรงกันข้าม,,adjective,/ˈkɑːntreri/,/ˈkɒntrəri/,C1,,,,,966_c1_contrary.jpg
967,contrast,"ความแตกต่าง, เปรียบเทียบ",a difference between two or more people or things that you can see clearly when they are compared or put close together; the fact of comparing two or more things in order to show the differences between them,noun,/ˈkɑːntræst/,/ˈkɒntrɑːst/,B1,The two cities make an interesting contrast.,,,,967_b1_contrast.jpg
968,contribute,"ช่วยเหลือ, สนับสนุน","to give something, especially money or goods, to help achieve or provide something",verb,/kənˈtrɪbjuːt/,/kənˈtrɪbjuːt/,B2,Do you wish to contribute?,,,,968_b2_contribute.jpg
969,contribution,"การช่วยเหลือ, ส่วนร่วม",a gift or payment that is made to a person or an organization in order to help pay for something,noun,/ˌkɑːntrɪˈbjuːʃn/,/ˌkɒntrɪˈbjuːʃn/,B2,All contributions will be gratefully received.,,,,
970,contributor,ผู้ร่วมให้ข้อมูล,"a person who writes articles for a magazine, book or website, or who talks on a radio or television programme or at a meeting",noun,/kənˈtrɪbjətər/,/kənˈtrɪbjətə(r)/,C1,a regular contributor to this magazine,,,,
971,control,"ควบคุม, ควบคุม","the power to make decisions about how a country, an area, an organization, etc. is run",noun,/kənˈtrəʊl/,/kənˈtrəʊl/,A2,"control of somebody/something, The party expects to gain control of the council in the next election.",,,,971_a2_control.jpg
972,controversial,เป็นที่ถกเถียง,causing a lot of angry public discussion and disagreement,adjective,/ˌkɑːntrəˈvɜːrʃl/,/ˌkɒntrəˈvɜːʃl/,B2,a highly controversial topic,,,,
973,controversy,การโต้เถียง,"public discussion and argument about something that many people strongly disagree about, think is bad, or are shocked by",noun,/ˈkɑːntrəvɜːrsi/,/ˈkɒntrəvɜːsi/,B2,to arouse/cause controversy,,,,973_b2_controversy.jpg
974,convenience,ความสะดวก,"the quality of being useful, easy or suitable for somebody",noun,/kənˈviːniəns/,/kənˈviːniəns/,B2,We have provided seats for the convenience of our customers.,,,,974_b2_convenience.jpg
